CODIGO_DO_FUNDO;SETOR;PRECO_ATUAL;LIQUIDEZ_DIARIA;DIVIDENDO;DIVIDEND_YIELD;DY_(3M)_ACUMULADO;DY_(6M)_ACUMULADO;DY_(12M)_ACUMULADO;DY_(3M)_MEDIA;DY_(6M)_MEDIA;DY_(12M)_MEDIA;DY_ANO;VARIACAO_PRECO;RENTAB._PERIODO;RENTAB._ACUMULADA;PATRIMONIO_LIQ.;VPA;P/VPA;DY_PATRIMONIAL;VARIACAO_PATRIMONIAL;RENTAB._PATR._NO_PERIODO;RENTAB._PATR._ACUMULADA;VACANCIA_FISICA;VACANCIA_FINANCEIRA;QUANTIDADE_ATIVOS
BICR11;Títulos e Val Mob;97.26;2;1.01;0.99;2.52;4.60;9.00;0.84;0.77;0.75;7.72;-0.03;0.96;16.73;50440663.35;100.88;0.96;1.00;0.40;1.41;9.28;;;0
OUJP11;Títulos e Val Mob;95.95;3962;1.20;1.26;3.86;8.28;15.87;1.29;1.38;1.32;13.65;2.38;3.67;19.50;328901361.47;101.13;0.95;1.19;0.26;1.45;13.54;;;0
HGRE11;Lajes Corporativas;130.00;12700;0.78;0.57;1.67;3.51;8.32;0.56;0.58;0.69;5.73;-0.54;0.02;10.23;1911617481.95;161.76;0.80;0.48;-0.06;0.42;1.72;27.13;29.17;21
LGCP11;Logística;83.36;5352;0.62;0.73;2.19;4.55;8.93;0.73;0.76;0.74;7.55;-0.91;-0.19;10.84;280859966.59;102.77;0.81;0.60;0.60;1.21;6.87;0.50;;5
NSLU11;Hospital;165.69;2776;1.41;0.87;1.66;3.92;9.06;0.55;0.65;0.76;2.42;0.00;0.87;15.00;251770972.69;194.68;0.85;0.72;0.06;0.78;2.27;0.00;;1
FIIP11B;Logística;150.04;665;1.35;0.85;2.50;5.06;9.75;0.83;0.84;0.81;8.21;-1.00;-0.16;4.54;172824415.02;186.40;0.80;0.72;0.08;0.81;-0.48;0.00;;7
KFOF11;Títulos e Val Mob;83.10;6430;0.72;0.80;2.40;5.11;10.03;0.80;0.85;0.84;8.55;-2.27;-1.48;28.48;44627322.58;98.39;0.84;0.73;-1.84;-1.12;12.53;;;0
HGIC11;Títulos e Val Mob;106.37;3748;1.21;1.13;3.10;6.00;11.90;1.03;1.00;0.99;9.78;1.42;2.56;11.24;33581846.82;116.44;0.91;1.04;0.78;1.82;18.39;;;0
CRFF11;Títulos e Val Mob;74.68;11;0.63;0.80;2.45;5.20;9.69;0.82;0.87;0.81;8.34;4.65;5.49;22.96;61877632.14;89.67;0.83;0.70;-0.90;-0.21;11.06;;;0
ITIT11;Títulos e Val Mob;79.48;980;0.58;0.71;2.17;4.53;9.05;0.72;0.75;0.75;7.60;0.00;0.71;21.95;76173259.19;84.59;0.94;0.69;-1.74;-1.07;12.68;;;0
XPCM11;Lajes Corporativas;15.10;3448;0.15;0.87;2.40;5.44;10.69;0.80;0.91;0.89;9.23;0.00;0.87;-1.73;125394127.99;51.93;0.29;0.29;-0.59;-0.30;-2.53;100.00;;1
BTRA11;Outros;85.91;6244;0.80;0.92;2.46;5.11;10.65;0.82;0.85;0.89;7.85;0.00;0.92;-4.00;347696797.12;103.34;0.83;0.77;-0.69;0.08;3.71;;;0
VIFI11;Títulos e Val Mob;7.43;28055;0.06;0.80;2.39;4.98;10.11;0.80;0.83;0.84;8.40;0.00;0.80;5.08;75800518.38;9.37;0.79;0.64;-0.77;-0.14;-68.07;;;0
BTWR11;Lajes Corporativas;105.49;1600;0.42;0.40;1.22;2.13;3.16;0.41;0.35;0.26;3.16;0.00;0.40;1.75;90324451.30;111.61;0.95;0.43;0.07;0.51;6.17;12.00;;1
BTSG11;Híbrido;100.00;1;0.87;0.86;1.72;1.72;0.00;0.57;0.29;0.00;1.72;0.00;0.86;1.73;103341425.67;133.34;0.75;0.65;0.00;0.65;5.34;;;0
TRXF11;Outros;104.81;22971;0.85;0.78;2.33;5.08;9.98;0.78;0.85;0.83;8.27;0.00;0.78;17.10;895339591.18;100.81;1.04;0.84;-2.12;-1.30;8.77;0.00;;44
HPDP11;Shoppings;78.20;127;0.55;0.69;1.84;3.47;6.79;0.61;0.58;0.57;5.65;0.00;0.69;0.50;275950685.39;94.87;0.82;0.58;-0.12;0.46;5.11;2.00;;1
HFOF11;Títulos e Val Mob;74.00;22811;0.62;0.78;2.37;4.94;9.56;0.79;0.82;0.80;8.07;0.00;0.78;8.90;1977685141.08;85.99;0.86;0.72;-1.48;-0.77;9.06;;;0
HOSI11;Híbrido;62.61;3;0.44;0.68;2.01;3.69;7.19;0.67;0.62;0.60;5.69;0.00;0.68;-7.18;53303825.45;92.95;0.67;0.47;0.20;0.67;4.60;;;2
JSRE11;Híbrido;76.64;37732;0.49;0.57;1.70;3.62;7.68;0.57;0.60;0.64;6.28;0.00;0.57;15.09;2355350509.30;113.42;0.68;0.43;-0.11;0.32;3.89;14.80;13.40;5
VSHO11;Shoppings;73.99;125;0.53;0.71;2.14;4.56;8.97;0.71;0.76;0.75;7.52;0.00;0.71;2.98;207312946.11;98.78;0.75;0.54;0.67;1.21;2.73;12.96;;3
VISC11;Shoppings;105.01;22574;0.75;0.67;1.96;4.05;8.20;0.65;0.67;0.68;6.78;0.00;0.67;20.05;234614659.41;114.97;0.91;0.65;0.21;0.86;5.26;8.30;;15
RFOF11;Títulos e Val Mob;71.71;1081;0.73;0.95;2.81;5.69;11.13;0.94;0.95;0.93;9.36;0.00;0.95;14.40;92461368.65;85.76;0.84;0.85;-1.09;-0.25;6.65;;;0
KCRE11;Renda;90.90;4008;0.35;0.37;0.00;0.00;0.00;0.00;0.00;0.00;0.73;0.00;0.37;6.03;36338485.47;100.94;0.90;0.35;0.22;0.57;3.06;;;0
ERCR11;Híbrido;89.10;177;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
ERCR11;Híbrido;89.20;4779;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
ERCR11;Híbrido;88.55;2738;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
ERCR11;Híbrido;89.31;2315;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
